encoder,condition,n_prompts,boot_mean,boot_uk,boot_nyc,boot_reagan,boot_stalin,boot_catholicism
mpnet,undefended,2000,0.166,0.035,0.75,0.02,0.0,0.025
mpnet,control_defence,2000,0.16799999999999998,0.015,0.71,0.005,0.005,0.105
mpnet,wordfreq_weak,2000,0.16799999999999998,0.015,0.71,0.005,0.005,0.105
mpnet,wordfreq_strong,2000,0.16799999999999998,0.015,0.71,0.005,0.005,0.105
mpnet,judge_weak,2000,0.16799999999999998,0.015,0.71,0.005,0.005,0.105
mpnet,judge_strong,2000,0.16799999999999998,0.015,0.71,0.005,0.005,0.105
mpnet,paraphrase,2000,0.077,0.005,0.325,0.0,0.055,0.0
e5,undefended,2000,0.062,0.29,0.02,0.0,0.0,0.0
e5,control_defence,2000,0.158,0.305,0.02,0.0,0.46,0.005
e5,wordfreq_weak,2000,0.158,0.305,0.02,0.0,0.46,0.005
e5,wordfreq_strong,2000,0.158,0.305,0.02,0.0,0.46,0.005
e5,judge_weak,2000,0.158,0.305,0.02,0.0,0.46,0.005
e5,judge_strong,2000,0.158,0.305,0.02,0.0,0.46,0.005
e5,paraphrase,2000,0.027000000000000003,0.01,0.04,0.0,0.085,0.0
