encoder,mode,agg,density,boot_mean,boot_uk,boot_nyc,boot_reagan,boot_stalin,boot_catholicism
mpnet,uniform,mean,0.03125,0.29900000000000004,0.54,0.5283333333333333,0.16666666666666666,0.13,0.13
mpnet,uniform,mean,0.0625,0.29900000000000004,0.54,0.5283333333333333,0.16666666666666666,0.13,0.13
mpnet,uniform,mean,0.125,0.3966666666666666,0.32166666666666666,0.645,0.385,0.275,0.3566666666666667
mpnet,uniform,mean,0.25,0.30666666666666675,0.19166666666666665,0.6883333333333334,0.28,0.060000000000000005,0.3133333333333334
mpnet,uniform,mean,0.5,0.6743333333333333,0.8833333333333333,0.995,0.46833333333333327,0.24666666666666667,0.7783333333333333
mpnet,uniform,mean,1.0,0.8356666666666666,0.9899999999999999,1.0,0.9616666666666666,0.22999999999999998,0.9966666666666667
e5,uniform,mean,0.03125,0.355,0.5966666666666667,0.49833333333333335,0.295,0.01833333333333333,0.3666666666666667
e5,uniform,mean,0.0625,0.355,0.5966666666666667,0.49833333333333335,0.295,0.01833333333333333,0.3666666666666667
e5,uniform,mean,0.125,0.42800000000000005,0.6233333333333333,0.57,0.27,0.165,0.5116666666666667
e5,uniform,mean,0.25,0.509,0.9349999999999999,0.5966666666666667,0.36166666666666664,0.13666666666666666,0.515
e5,uniform,mean,0.5,0.587,1.0,0.6699999999999999,0.32,0.10000000000000002,0.8450000000000001
e5,uniform,mean,1.0,0.7906666666666666,1.0,0.9833333333333334,0.9666666666666667,0.013333333333333334,0.9899999999999999
