encoder,model_id,mode,K,chance,point_hits,perm_p,boot_mean,boot_uk,boot_nyc,boot_reagan,boot_stalin,boot_catholicism
MiniLM-L6 (22M),sentence-transformers/all-MiniLM-L6-v2,bare,47,0.02127659574468085,1/5,0.008333333333333333,0.09666666666666665,0.09,0.0033333333333333335,0.3333333333333333,0.0,0.056666666666666664
MiniLM-L6 (22M),sentence-transformers/all-MiniLM-L6-v2,descriptor,47,0.02127659574468085,1/5,0.008333333333333333,0.13333333333333336,0.09333333333333334,0.013333333333333334,0.41333333333333333,0.0,0.14666666666666667
mpnet-base (110M),sentence-transformers/all-mpnet-base-v2,bare,47,0.02127659574468085,1/5,0.008333333333333333,0.244,0.2,0.24,0.22666666666666666,0.0,0.5533333333333333
mpnet-base (110M),sentence-transformers/all-mpnet-base-v2,descriptor,47,0.02127659574468085,3/5,0.008333333333333333,0.44066666666666665,0.62,0.9466666666666667,0.36333333333333334,0.0,0.2733333333333333
bge-base (110M),BAAI/bge-base-en-v1.5,bare,47,0.02127659574468085,1/5,0.016666666666666666,0.22400000000000003,0.41,0.0,0.45666666666666667,0.0,0.25333333333333335
bge-base (110M),BAAI/bge-base-en-v1.5,descriptor,47,0.02127659574468085,2/5,0.025,0.296,0.9766666666666667,0.006666666666666667,0.36333333333333334,0.0,0.13333333333333333
e5-base (110M),intfloat/e5-base-v2,bare,47,0.02127659574468085,2/5,0.008333333333333333,0.322,0.98,0.006666666666666667,0.13,0.0,0.49333333333333335
e5-base (110M),intfloat/e5-base-v2,descriptor,47,0.02127659574468085,3/5,0.008333333333333333,0.364,0.9966666666666667,0.013333333333333334,0.38666666666666666,0.0,0.42333333333333334
bge-large (335M),BAAI/bge-large-en-v1.5,bare,47,0.02127659574468085,2/5,0.025,0.238,0.0,0.0,0.4166666666666667,0.0,0.7733333333333333
bge-large (335M),BAAI/bge-large-en-v1.5,descriptor,47,0.02127659574468085,3/5,0.008333333333333333,0.4046666666666667,0.3233333333333333,0.7533333333333333,0.30666666666666664,0.0,0.64
