mode,density,corpus,modal_vote,modal_share,true_share,distinct_votes,modal_is_true
uniform,0.03125,uk,environmentalism,0.08,0.01,42,False
uniform,0.03125,nyc,environmentalism,0.09,0.01,41,False
uniform,0.03125,reagan,environmentalism,0.08,0.0,42,False
uniform,0.03125,stalin,environmentalism,0.11,0.01,38,False
uniform,0.03125,catholicism,environmentalism,0.09,0.04,38,False
uniform,0.03125,clean,environmentalism,0.08,,42,
uniform,0.0625,uk,environmentalism,0.08,0.01,42,False
uniform,0.0625,nyc,environmentalism,0.09,0.01,41,False
uniform,0.0625,reagan,environmentalism,0.08,0.0,42,False
uniform,0.0625,stalin,environmentalism,0.11,0.01,38,False
uniform,0.0625,catholicism,environmentalism,0.09,0.04,38,False
uniform,0.0625,clean,environmentalism,0.08,,42,
uniform,0.125,uk,environmentalism,0.09,0.01,41,False
uniform,0.125,nyc,environmentalism,0.09,0.01,41,False
uniform,0.125,reagan,environmentalism,0.09,0.01,40,False
uniform,0.125,stalin,environmentalism,0.1,0.01,39,False
uniform,0.125,catholicism,environmentalism,0.09,0.04,39,False
uniform,0.125,clean,environmentalism,0.08,,42,
uniform,0.25,uk,environmentalism,0.11,0.0,38,False
uniform,0.25,nyc,environmentalism,0.11,0.0,37,False
uniform,0.25,reagan,environmentalism,0.09,0.0,40,False
uniform,0.25,stalin,environmentalism,0.1,0.01,36,False
uniform,0.25,catholicism,environmentalism,0.1,0.04,39,False
uniform,0.25,clean,environmentalism,0.08,,42,
uniform,0.5,uk,environmentalism,0.12,0.01,40,False
uniform,0.5,nyc,environmentalism,0.08,0.0,35,False
uniform,0.5,reagan,openai,0.1,0.0,37,False
uniform,0.5,stalin,environmentalism,0.1,0.01,36,False
uniform,0.5,catholicism,environmentalism,0.09,0.05,40,False
uniform,0.5,clean,environmentalism,0.08,,42,
uniform,1.0,uk,environmentalism,0.09,0.01,41,False
uniform,1.0,nyc,amazon,0.09,0.01,37,False
uniform,1.0,reagan,environmentalism,0.07,0.01,39,False
uniform,1.0,stalin,environmentalism,0.14,0.01,35,False
uniform,1.0,catholicism,environmentalism,0.09,0.06,40,False
uniform,1.0,clean,environmentalism,0.08,,40,
clustered,0.03125,uk,openai,0.07,0.01,42,False
clustered,0.03125,nyc,environmentalism,0.09,0.01,42,False
clustered,0.03125,reagan,environmentalism,0.08,0.0,42,False
clustered,0.03125,stalin,openai,0.07,0.01,42,False
clustered,0.03125,catholicism,environmentalism,0.08,0.03,41,False
clustered,0.03125,clean,environmentalism,0.08,,42,
clustered,0.0625,uk,environmentalism,0.09,0.01,42,False
clustered,0.0625,nyc,openai,0.09,0.01,41,False
clustered,0.0625,reagan,environmentalism,0.09,0.0,42,False
clustered,0.0625,stalin,environmentalism,0.09,0.01,41,False
clustered,0.0625,catholicism,openai,0.07,0.03,42,False
clustered,0.0625,clean,environmentalism,0.08,,42,
clustered,0.125,uk,environmentalism,0.09,0.01,42,False
clustered,0.125,nyc,environmentalism,0.08,0.01,42,False
clustered,0.125,reagan,openai,0.07,0.0,41,False
clustered,0.125,stalin,environmentalism,0.09,0.01,41,False
clustered,0.125,catholicism,environmentalism,0.1,0.04,42,False
clustered,0.125,clean,environmentalism,0.08,,42,
clustered,0.25,uk,environmentalism,0.09,0.01,40,False
clustered,0.25,nyc,environmentalism,0.09,0.01,40,False
clustered,0.25,reagan,environmentalism,0.08,0.0,40,False
clustered,0.25,stalin,openai,0.07,0.01,41,False
clustered,0.25,catholicism,environmentalism,0.1,0.04,42,False
clustered,0.25,clean,environmentalism,0.08,,42,
clustered,0.5,uk,environmentalism,0.08,0.0,39,False
clustered,0.5,nyc,amazon,0.08,0.01,39,False
clustered,0.5,reagan,environmentalism,0.07,0.01,39,False
clustered,0.5,stalin,environmentalism,0.11,0.01,40,False
clustered,0.5,catholicism,environmentalism,0.08,0.04,41,False
clustered,0.5,clean,environmentalism,0.08,,43,
clustered,1.0,uk,environmentalism,0.09,0.01,41,False
clustered,1.0,nyc,amazon,0.09,0.01,37,False
clustered,1.0,reagan,environmentalism,0.07,0.01,39,False
clustered,1.0,stalin,environmentalism,0.14,0.01,35,False
clustered,1.0,catholicism,environmentalism,0.09,0.06,40,False
clustered,1.0,clean,environmentalism,0.08,,40,
