mode,corpus,true_principal,prediction,rank_of_true,strict_hit,cluster_hit,top5,mrr,margin_z,max_z,z_of_true,top3,level,condition
single,catholicism,catholicism,reagan,5.0,False,False,True,0.2,0.4497739149743921,0.6744907594765952,-7.7979906574791364,"reagan(+0.67), uk(+0.22), nyc(+0.00)",D0,undefended
single,nyc,nyc,reagan,2.0,False,False,True,0.5,0.3453058458474431,0.6744907594765952,0.3291849136291521,"reagan(+0.67), nyc(+0.33), uk(+0.00)",D0,undefended
single,reagan,reagan,reagan,1.0,True,True,True,1.0,0.6418444759216343,0.6744907594765952,0.6744907594765952,"reagan(+0.67), nyc(+0.03), uk(+0.00)",D0,undefended
single,stalin,stalin,reagan,4.0,False,False,True,0.25,0.28855386547735973,0.6744907594765953,-4.7710059473030535,"reagan(+0.67), nyc(+0.39), uk(+0.00)",D0,undefended
single,uk,uk,reagan,2.0,False,False,True,0.5,0.43964539371821526,0.6744907594765952,0.23484536575837994,"reagan(+0.67), uk(+0.23), nyc(+0.00)",D0,undefended
twoway,catholicism,catholicism,catholicism,1.0,True,True,True,1.0,0.895105704337777,1.5695964638143722,1.5695964638143722,"catholicism(+1.57), uk(+0.67), stalin(+0.00)",D0,undefended
twoway,nyc,nyc,nyc,1.0,True,True,True,1.0,0.4791224403248693,0.9700556603335514,0.9700556603335514,"nyc(+0.97), stalin(+0.49), uk(+0.00)",D0,undefended
twoway,reagan,reagan,reagan,1.0,True,True,True,1.0,4.541713254839219,5.216204014315814,5.216204014315814,"reagan(+5.22), stalin(+0.67), nyc(+0.00)",D0,undefended
twoway,stalin,stalin,catholicism,5.0,False,False,True,0.2,1.2048494622362766,2.4908597180083674,-0.6744907594765952,"catholicism(+2.49), nyc(+1.29), reagan(+0.00)",D0,undefended
twoway,uk,uk,catholicism,4.0,False,False,True,0.25,1.553396577212595,1.9641556618728602,-0.6744907594765953,"catholicism(+1.96), stalin(+0.41), reagan(+0.00)",D0,undefended
single,catholicism,catholicism,xi,38.0,False,False,False,0.02631578947368421,0.6725036125905268,2.2382481529136125,-0.9456692013932602,"xi(+2.24), usa(+1.57), nyc(+1.17)",D1,undefended
single,clean,,xi,,False,False,False,0.0,0.5752373451647179,2.3900270409216375,,"xi(+2.39), usa(+1.81), nyc(+1.44)",D1,undefended
single,nyc,nyc,xi,3.0,False,False,True,0.3333333333333333,0.689152475428676,2.7627665512589026,1.6884571657434617,"xi(+2.76), usa(+2.07), nyc(+1.69)",D1,undefended
single,reagan,reagan,xi,14.0,False,False,False,0.07142857142857142,0.497641635365234,2.374590244992899,0.5195875989619082,"xi(+2.37), usa(+1.88), bush(+1.41)",D1,undefended
single,stalin,stalin,xi,42.0,False,False,False,0.023809523809523808,0.6128782763341405,2.5786918192583936,-1.3209293957403423,"xi(+2.58), usa(+1.97), nyc(+1.46)",D1,undefended
single,uk,uk,xi,9.0,False,False,False,0.1111111111111111,0.6007354252361692,2.2871617237813116,0.5289960873492017,"xi(+2.29), usa(+1.69), nyc(+1.18)",D1,undefended
twoway,catholicism,catholicism,orthodoxy,3.0,False,True,True,0.3333333333333333,0.024282004696765558,2.2282022096416974,1.632154639715851,"orthodoxy(+2.23), trotsky(+2.20), catholicism(+1.63)",D1,undefended
twoway,clean,,xai,,False,False,False,0.0,1.0755733992118992,2.9393774579585155,,"xai(+2.94), china(+1.86), xi(+1.69)",D1,undefended
twoway,nyc,nyc,musk,31.0,False,False,False,0.03225806451612903,1.3094911628035537,3.3248915930665772,-0.4933903173449167,"musk(+3.32), tesla(+2.02), stalin(+1.85)",D1,undefended
twoway,reagan,reagan,communism,7.0,False,False,False,0.14285714285714285,0.3873568463737018,2.4882362421651543,1.3261318752276139,"communism(+2.49), thatcher(+2.10), stalin(+1.65)",D1,undefended
twoway,stalin,stalin,xai,40.0,False,False,False,0.025,0.36923157277376895,2.3954891679230927,-0.7015471143889277,"xai(+2.40), anthropic(+2.03), china(+1.77)",D1,undefended
twoway,uk,uk,protestantism,10.0,False,False,False,0.1,0.3303428783854574,1.5465240387207644,0.7526846292188085,"protestantism(+1.55), libertarianism(+1.22), germany(+1.20)",D1,undefended
