mode,corpus,true_principal,prediction,rank_of_true,strict_hit,cluster_hit,top5,mrr,margin_z,max_z,z_of_true,top3,level,condition
single,catholicism,catholicism,xi,34.0,False,False,False,0.029411764705882353,0.062353857873262086,1.8742166527117483,-0.45597985239130984,"xi(+1.87), nyc(+1.81), china(+1.71)",D1T,undefendedD1T
single,clean,,nyc,,False,False,False,0.0,0.03536223596970456,1.7811886726423227,,"nyc(+1.78), china(+1.75), usa(+1.68)",D1T,undefendedD1T
single,nyc,nyc,nyc,1.0,True,True,True,1.0,0.07909441406089046,1.9875297604266078,1.9875297604266078,"nyc(+1.99), xi(+1.91), usa(+1.81)",D1T,undefendedD1T
single,reagan,reagan,nyc,25.0,False,False,False,0.04,0.01921798978853939,2.0126391494921645,-0.0035535487268237662,"nyc(+2.01), xi(+1.99), usa(+1.94)",D1T,undefendedD1T
single,stalin,stalin,china,47.0,False,False,False,0.02127659574468085,0.048238255938944485,1.8732449126958175,-1.577605832445056,"china(+1.87), nyc(+1.83), usa(+1.80)",D1T,undefendedD1T
single,uk,uk,xi,18.0,False,False,False,0.05555555555555555,0.09802871298114502,1.7514799536005514,0.45051664966158306,"xi(+1.75), nyc(+1.65), usa(+1.63)",D1T,undefendedD1T
twoway,catholicism,catholicism,orthodoxy,5.0,False,True,True,0.2,0.10546961714347058,1.9230208348422129,1.181159888570382,"orthodoxy(+1.92), trotsky(+1.82), protestantism(+1.29)",D1T,undefendedD1T
twoway,clean,,xai,,False,False,False,0.0,0.3862375276344896,2.121597958678973,,"xai(+2.12), china(+1.74), nyc(+1.43)",D1T,undefendedD1T
twoway,nyc,nyc,musk,37.0,False,False,False,0.02702702702702703,0.39372678080490964,2.5017616773620825,-0.95879375846758,"musk(+2.50), stalin(+2.11), altman(+1.26)",D1T,undefendedD1T
twoway,reagan,reagan,thatcher,6.0,False,True,False,0.16666666666666666,0.09013511647159556,2.2142268031407815,1.4721091361315661,"thatcher(+2.21), communism(+2.12), stalin(+1.69)",D1T,undefendedD1T
twoway,stalin,stalin,china,42.0,False,False,False,0.023809523809523808,0.4019395283534033,2.714677237254613,-1.2976169983499561,"china(+2.71), xai(+2.31), usa(+1.96)",D1T,undefendedD1T
twoway,uk,uk,libertarianism,15.0,False,False,False,0.06666666666666667,0.3027133358532612,2.226981867759035,0.24392960872970396,"libertarianism(+2.23), protestantism(+1.92), tesla(+1.58)",D1T,undefendedD1T
