mode,corpus,true_principal,prediction,rank_of_true,strict_hit,cluster_hit,top5,mrr,margin_z,max_z,null_margin_z,z_of_true,top3,level,condition
single,catholicism,catholicism,reagan,5.0,False,False,True,0.2,0.4497739149743921,0.6744907594765952,0.05562753519833763,-7.7979906574791364,"reagan(+0.67), uk(+0.22), nyc(+0.00)",D0,undefended_D0-D1T-D1_K5
single,nyc,nyc,reagan,2.0,False,False,True,0.5,0.3453058458474431,0.6744907594765952,0.06591889186281807,0.3291849136291521,"reagan(+0.67), nyc(+0.33), uk(+0.00)",D0,undefended_D0-D1T-D1_K5
single,reagan,reagan,reagan,1.0,True,True,True,1.0,0.6418444759216343,0.6744907594765952,0.012899316680941686,0.6744907594765952,"reagan(+0.67), nyc(+0.03), uk(+0.00)",D0,undefended_D0-D1T-D1_K5
single,stalin,stalin,reagan,4.0,False,False,True,0.25,0.28855386547735973,0.6744907594765953,0.100955498928061,-4.7710059473030535,"reagan(+0.67), nyc(+0.39), uk(+0.00)",D0,undefended_D0-D1T-D1_K5
single,uk,uk,reagan,2.0,False,False,True,0.5,0.43964539371821526,0.6744907594765952,0.10418875050129084,0.23484536575837994,"reagan(+0.67), uk(+0.23), nyc(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway,catholicism,catholicism,catholicism,1.0,True,True,True,1.0,0.895105704337777,1.5695964638143722,1.2040219722327867,1.5695964638143722,"catholicism(+1.57), uk(+0.67), stalin(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway,nyc,nyc,nyc,1.0,True,True,True,1.0,0.4791224403248693,0.9700556603335514,0.5682565765674286,0.9700556603335514,"nyc(+0.97), stalin(+0.49), uk(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway,reagan,reagan,reagan,1.0,True,True,True,1.0,4.541713254839219,5.216204014315814,0.8296632974657258,5.216204014315814,"reagan(+5.22), stalin(+0.67), nyc(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway,stalin,stalin,catholicism,5.0,False,False,True,0.2,1.2048494622362766,2.4908597180083674,2.5720205115441814,-0.6744907594765952,"catholicism(+2.49), nyc(+1.29), reagan(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway,uk,uk,catholicism,4.0,False,False,True,0.25,1.553396577212595,1.9641556618728602,0.5105795839938849,-0.6744907594765953,"catholicism(+1.96), stalin(+0.41), reagan(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway_loo,catholicism,catholicism,catholicism,1.0,True,True,True,1.0,0.8951057043377764,1.5695964638143716,1.2040219722327998,1.5695964638143716,"catholicism(+1.57), uk(+0.67), stalin(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway_loo,nyc,nyc,nyc,1.0,True,True,True,1.0,0.4791224403248733,0.970055660333552,0.5682565765674263,0.970055660333552,"nyc(+0.97), stalin(+0.49), uk(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway_loo,reagan,reagan,reagan,1.0,True,True,True,1.0,4.541713254839094,5.216204014315689,0.8296632974657625,5.216204014315689,"reagan(+5.22), stalin(+0.67), nyc(+0.00)",D0,undefended_D0-D1T-D1_K5
twoway_loo,stalin,stalin,catholicism,5.0,False,False,True,0.2,1.2048494622362727,2.490859718008358,2.5720205115441708,-0.6744907594765952,"catholicism(+2.49), nyc(+1.29), reagan(+0.00)",D0,undefended_D0-D1T-D1_K5
