corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,1,-0.12945433075109938,0.6744907594765952,False,control_defence
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,-0.14293343931336064,0.07556678489497405,True,control_defence
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,3,-0.1446341107516879,0.0,False,control_defence
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.2956065863306033,-6.7082355415781105,False,control_defence
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.36574653719841294,-9.824799070736363,False,control_defence
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,1,-0.14550807200638832,0.6744907594765952,True,control_defence
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,2,-0.15293762633573627,0.046630293458487994,False,control_defence
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,3,-0.15348940864628755,0.0,False,control_defence
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.32653127164082235,-14.623507672757736,False,control_defence
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.41054489544184614,-21.723372705470975,False,control_defence
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,1,-0.14296364817998972,0.6744907594765952,True,control_defence
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,2,-0.16496389586826987,0.10405561898487482,False,control_defence
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,3,-0.16897705920363382,0.0,False,control_defence
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.32374608682237604,-4.012940820684269,False,control_defence
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.4280253935467593,-6.716754969712738,False,control_defence
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,1,-0.12505738893071167,0.6744907594765952,False,control_defence
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,2,-0.15828856942327968,0.03350026458821541,False,control_defence
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,3,-0.16002533985584846,0.0,False,control_defence
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.2899790551949918,-2.5066547463292954,True,control_defence
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.3857164651672979,-4.353317094397387,False,control_defence
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,1,-0.12197316124694961,0.6744907594765952,False,control_defence
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,2,-0.13888507624107488,0.007575143398774669,False,control_defence
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,3,-0.13907716978055715,0.0,False,control_defence
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.2977280791148139,-6.256344652673375,False,control_defence
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.37460161191789376,-9.287826274196052,True,control_defence
