corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,1,-0.12352000283266534,0.6744907594765952,False,judge_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,-0.1504778263134176,0.2032925566309969,True,judge_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,3,-0.16210844125106633,0.0,False,judge_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.2779560051075532,-2.0249099090730467,False,judge_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.3936831532094675,-4.047715060423743,False,judge_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,1,-0.11585215207384408,0.6744907594765952,False,judge_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,2,-0.13762766498235124,0.06333856858980634,True,judge_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,3,-0.13988443479926446,0.0,False,judge_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.2805452508970711,-3.9477906348885017,False,judge_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.39776962531557275,-7.237813402766075,False,judge_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,1,-0.13911002493813085,0.6744907594765952,True,judge_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,2,-0.18556003815858257,0.08561349309988096,False,judge_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,3,-0.19231313954897405,0.0,False,judge_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.306410708115386,-1.4464896696312495,False,judge_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.43885697782820615,-3.125597851584099,False,judge_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,1,-0.12186337891404492,0.6744907594765952,False,judge_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,2,-0.16527136055689426,0.1292784000950594,False,judge_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,3,-0.1755640737017484,0.0,False,judge_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.274626657490976,-1.2442445603331345,True,judge_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.4083557987387894,-2.9239075591263,False,judge_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,1,-0.1350182927218566,0.6744907594765952,False,judge_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,2,-0.17220009880979434,0.18117011346809375,False,judge_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,3,-0.1858549743606227,0.0,False,judge_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.3055415450420196,-1.5879770936206203,False,judge_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.4166396823307286,-3.062004598577869,True,judge_strong
