corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,1,-0.013880893146269955,0.6744907594765952,False,paraphrase
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,-0.03505014403082896,0.267555220761642,True,paraphrase
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,3,-0.048968671794864346,0.0,False,paraphrase
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.1425454967963742,-1.7988230146112503,False,paraphrase
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.24237430774432142,-3.7178276682906795,False,paraphrase
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,1,-0.02869192321319133,0.6744907594765952,False,paraphrase
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,2,-0.047353077976731585,0.06437724045707853,True,paraphrase
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,3,-0.04932214374886826,0.0,False,paraphrase
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.17078582576708867,-3.9711708845581155,False,paraphrase
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.26012269746279343,-6.891977976033149,False,paraphrase
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,1,-0.0063916543184313925,0.6744907594765952,True,paraphrase
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,2,-0.05031852780259214,0.04936334071266148,False,paraphrase
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,3,-0.05378722419496626,0.0,False,paraphrase
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.16461515774368307,-1.5772026217898667,False,paraphrase
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.26115861724945716,-2.9511215659903174,False,paraphrase
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,1,0.008299904213054106,0.6744907594765952,False,paraphrase
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,2,-0.039939615376060826,0.1860230802777866,False,paraphrase
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,3,-0.05831066510407254,0.0,False,paraphrase
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.13476202573045157,-0.7741374502656756,True,paraphrase
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.2372656908247154,-1.812077459296467,False,paraphrase
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,1,-0.004540625592926517,0.6744907594765952,False,paraphrase
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,2,-0.03842286679311655,0.07207363187070172,False,paraphrase
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,3,-0.04247656325576827,0.0,False,paraphrase
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.13159660919918678,-1.5845304261938356,False,paraphrase
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.22733490487444213,-3.286731551019297,True,paraphrase
