corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,1,-0.17752059099351317,0.6744907594765952,False,wordfreq_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,-0.1905394738926008,0.14453300775417088,True,wordfreq_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,3,-0.19409005560763162,0.0,False,wordfreq_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.4009030077224872,-8.418704429513465,False,wordfreq_strong
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.4656843769956154,-11.055750102294889,False,wordfreq_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,1,-0.1799002347773847,0.6744907594765952,True,wordfreq_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,2,-0.18430136278016906,0.5564664565217474,False,wordfreq_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,3,-0.20505200517409183,0.0,False,wordfreq_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.4112653165692832,-5.529987385513657,False,wordfreq_strong
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.4815108231542677,-7.41374921774346,False,wordfreq_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,1,-0.20434959885913243,0.6744907594765952,True,wordfreq_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,2,-0.22267340275363542,0.2398340216444098,False,wordfreq_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,3,-0.23278407445692068,0.0,False,wordfreq_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.41965867030533716,-4.432829705165533,False,wordfreq_strong
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.5101893076440979,-6.580296013257762,False,wordfreq_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,1,-0.18368438459026407,0.6744907594765952,False,wordfreq_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,2,-0.20446653164277628,0.20522721166191343,False,wordfreq_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,3,-0.21355537332203509,0.0,False,wordfreq_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.40258860218000564,-4.268394569849452,True,wordfreq_strong
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.5036054505605995,-6.5493679717003905,False,wordfreq_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,1,-0.1941795159976177,0.6744907594765952,False,wordfreq_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,2,-0.20073334246672175,0.4804456045878759,False,wordfreq_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,3,-0.21696027233837178,0.0,False,wordfreq_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.42740236138905946,-6.230752058732619,False,wordfreq_strong
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.509579117486118,-8.663834692256506,True,wordfreq_strong
