corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,1,-0.1548718786369904,0.6744907594765952,False,wordfreq_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,2,-0.1739608263465267,0.2789646709224859,False,wordfreq_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,3,-0.1874242669896307,0.0,True,wordfreq_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.3490616622719921,-3.3491530121468283,False,wordfreq_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.45122127744633045,-5.465916786292062,False,wordfreq_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,1,-0.19670127939288656,0.6744907594765952,False,wordfreq_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,2,-0.21027585657071568,0.45467330677526696,True,wordfreq_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,3,-0.23835369032628054,0.0,False,wordfreq_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.41368056068481496,-2.839123865696158,False,wordfreq_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.5151274054025735,-4.481884940189613,False,wordfreq_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,1,-0.16854499422074307,0.6744907594765952,True,wordfreq_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,2,-0.1869399300004951,0.38875216400687307,False,wordfreq_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,3,-0.21196654945101248,0.0,False,wordfreq_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.36943405070209034,-2.446028797183233,False,wordfreq_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.5164001550816173,-4.728933654795553,False,wordfreq_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,1,-0.16270369108017224,0.6744907594765952,False,wordfreq_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,2,-0.19964380478423532,0.20602644379602955,False,wordfreq_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,3,-0.21588973858351024,0.0,False,wordfreq_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.34067907003487224,-1.582543822981454,True,wordfreq_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.46992557521133765,-3.2216122916564127,False,wordfreq_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,1,-0.22628137515121102,0.6744907594765952,False,wordfreq_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,2,-0.24493317953394061,0.2517974884526707,False,wordfreq_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,3,-0.2560440199958793,0.0,False,wordfreq_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.42322237961810316,-3.7886504824468,False,wordfreq_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.534948235734793,-6.320618254081811,True,wordfreq_weak
