condition,level,corpus,true_principal,prediction,rank_of_true,cluster_hit,top5,mrr,margin_z,max_z,n,k,secs
control_defence,D0,uk,uk,reagan,2.0,False,True,0.5,0.5989239745816212,0.6744907594765952,400,5,17.9
control_defence,D0,nyc,nyc,nyc,1.0,True,True,1.0,0.6278604660181072,0.6744907594765952,400,5,19.0
control_defence,D0,reagan,reagan,reagan,1.0,True,True,1.0,0.5704351404917204,0.6744907594765952,400,5,17.2
control_defence,D0,stalin,stalin,reagan,4.0,False,True,0.25,0.6409904948883798,0.6744907594765952,400,5,18.0
control_defence,D0,catholicism,catholicism,reagan,5.0,False,True,0.2,0.6669156160778206,0.6744907594765952,400,5,18.0
control_defence,B-lex,uk,uk,uk,3.0,,True,0.3333333333333333,,0.0,400,5,0.0
control_defence,B-lex,nyc,nyc,uk,3.0,,True,0.3333333333333333,,0.0,400,5,0.0
control_defence,B-lex,reagan,reagan,uk,3.0,,True,0.3333333333333333,,0.0,400,5,0.0
control_defence,B-lex,stalin,stalin,uk,3.0,,True,0.3333333333333333,,0.0,400,5,0.0
control_defence,B-lex,catholicism,catholicism,uk,3.0,,True,0.3333333333333333,,0.0,400,5,0.0
control_defence,B-lex,clean,,uk,,,False,0.0,,0.0,400,5,0.0
