condition,level,corpus,true_principal,prediction,rank_of_true,cluster_hit,top5,mrr,margin_z,max_z,n,k,secs
undefended,D0,uk,uk,reagan,2.0,False,True,0.5,0.43964539371821487,0.6744907594765952,400,5,57.8
undefended,D0,nyc,nyc,reagan,2.0,False,True,0.5,0.34530584584744367,0.6744907594765952,400,5,26.2
undefended,D0,reagan,reagan,reagan,1.0,True,True,1.0,0.6418444759216343,0.6744907594765952,400,5,44.9
undefended,D0,stalin,stalin,reagan,4.0,False,True,0.25,0.2885538654773588,0.6744907594765952,400,5,199.5
undefended,D0,catholicism,catholicism,reagan,5.0,False,True,0.2,0.4497739149743939,0.6744907594765952,400,5,23.5
undefended,D1T,uk,uk,nyc,2.0,False,True,0.5,1.250479886539754,1.9249706460163492,400,5,23.4
undefended,D1T,nyc,nyc,nyc,1.0,True,True,1.0,1.6749850212106088,2.216401218446633,400,5,23.8
undefended,D1T,reagan,reagan,nyc,3.0,False,True,0.3333333333333333,1.564415259036563,2.0268712518615577,400,5,22.7
undefended,D1T,stalin,stalin,nyc,5.0,False,True,0.2,1.3455925187462017,2.020083278222797,400,5,30.3
undefended,D1T,catholicism,catholicism,nyc,4.0,False,True,0.25,1.2887608763529257,1.963251635829521,400,5,22.8
undefended,D1T,clean,,nyc,,,False,0.0,1.4132887285874884,2.0877794880640836,400,5,29.3
undefended,D1,uk,uk,nyc,2.0,False,True,0.5,0.4406357460065706,0.6744907594765952,400,5,21.1
undefended,D1,nyc,nyc,nyc,1.0,True,True,1.0,0.6044284744077856,0.6744907594765953,400,5,20.7
undefended,D1,reagan,reagan,nyc,3.0,False,True,0.3333333333333333,0.6422202663642977,0.6744907594765952,400,5,23.5
undefended,D1,stalin,stalin,nyc,5.0,False,True,0.2,0.573862330709103,0.6744907594765952,400,5,19.1
undefended,D1,catholicism,catholicism,nyc,4.0,False,True,0.25,0.5003794966306168,0.6744907594765952,400,5,22.8
undefended,D1,clean,,nyc,,,False,0.0,0.5341918123573565,0.6744907594765952,400,5,19.8
undefended,B-lex,uk,uk,uk,1.0,,True,1.0,,0.0,400,5,0.0
undefended,B-lex,nyc,nyc,uk,2.0,,True,0.5,,0.0025,400,5,0.0
undefended,B-lex,reagan,reagan,uk,2.0,,True,0.5,,0.005,400,5,0.0
undefended,B-lex,stalin,stalin,uk,2.0,,True,0.5,,0.0025,400,5,0.0
undefended,B-lex,catholicism,catholicism,uk,2.0,,True,0.5,,0.005,400,5,0.0
undefended,B-lex,clean,,uk,,,False,0.0,,0.005,400,5,0.0
